Z mean train,Z variance train,KL Divergence,KL Loss,adapter Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.0027147566,0.002706097,368.61356,368.61356,848.6142,906.78204,29.11815,-5.360342,0.0019005148,4.6291643e-05,0.0020279535,0.0017613786,-0.0017496464,6.933059e-05,-0.0015651565,-0.0019158559,-5.3604245,0.6351156,-3.1943884,-6.892293,-0.00027772086,0.0005752797,0.00064481475,-0.0009439137,0.00036218297,0.0023915288,0.009430102,-0.0059431638,0.020135328,0.36954933,-536.0957559131257,-557.8583800464228,-530.0836863427555,1000,90000,0,528.9897585399449,0,100.99495232803747,629.9847108679824,648.5867185778916,0
0.034412853,0.9981949,0.25838035,0.25838035,74.32636,88.238686,216.397,13.383717,-19.805223,6.937699,-12.350434,-37.936428,-0.29355723,2.9802322e-08,-0.29355726,-0.29355726,-5.4209905,0.35821652,-4.6561503,-8.206417,0.0147289615,0.036981415,0.11833209,-0.1576815,-0.18056828,0.022118416,-0.12183601,-0.2389902,0.005657041,0.39253345,-508.36918482428547,-481.4880439917241,-568.6298837559591,2000,120000,0,536.47400230309,18.603938962798566,34.74044286739081,589.8183841332793,1235.3238278576173,1
0.009993566,0.9944421,0.08156876,0.08156876,90.90164,9.612736,258.939,13.799492,-21.310764,8.126607,-10.57083,-50.74865,-0.6092292,5.9604645e-08,-0.60922927,-0.60922927,-5.478135,0.33418795,-4.793684,-8.07206,0.003880908,0.01616472,0.06873045,-0.09868603,-0.1853523,0.025169477,-0.11373295,-0.26145208,0.015636377,0.38299087,-424.4663695405014,-428.5620610834661,-565.6782093982092,3000,150000,0,522.3282349850051,15.522827111184597,38.98309441842139,576.8341565146111,1816.086279727053,2
0.02630032,0.98182696,0.1574175,0.1574175,104.67124,3.327029,264.0948,14.043458,-21.497507,8.250329,-9.868431,-44.91017,-0.92306334,5.9604645e-08,-0.9230634,-0.9230634,-5.4547024,0.3472614,-4.922156,-7.178121,0.0002922698,0.01440785,0.056436684,-0.057442084,-0.1988977,0.032503113,-0.13808335,-0.3008653,0.025105605,0.3582492,-512.0899116677921,-510.61466502766115,-546.6599288473153,4000,180000,0,526.3846236751415,19.451334986370057,39.11864111153409,584.9545997730456,2400.5435342695564,3
0.043687996,0.9964757,0.21079287,0.21079287,112.52604,2.075237,251.95604,13.931238,-21.587887,8.751714,-8.809981,-48.793705,-1.212568,1.1920929e-07,-1.2125679,-1.2125679,-5.4109516,0.37846336,-4.9060802,-8.537194,-0.0007064248,0.009253106,0.037150435,-0.041157737,-0.21741009,0.038011674,-0.12365037,-0.29480875,0.016387854,0.4111238,-404.15092286254537,-416.8458404614715,-550.6739586601952,5000,210000,0,531.1813546530902,18.954184331931174,34.78470779536292,584.9202467803843,2981.6369832847267,4
0.023752483,0.9666942,0.11744219,0.11744219,108.04556,1.0266198,261.44525,14.435729,-21.693409,8.120087,-7.571998,-45.984253,-1.514649,2.3841858e-07,-1.5146493,-1.5146493,-5.4311066,0.35978517,-4.9668407,-7.2879767,-0.002442943,0.008549303,0.028431762,-0.045109436,-0.225342,0.034351185,-0.14365008,-0.29478616,0.0025238742,0.3770658,-498.82898976512587,-486.98478723916134,-542.5105869140838,6000,240000,0,534.0334195918404,15.127598667051643,36.94986692769453,586.1108851865865,3573.016178753227,5
0.0044212965,1.0345942,0.019095968,0.019095968,97.517044,0.65343416,251.85545,14.445862,-21.207047,8.787117,-6.3828087,-52.362656,-1.8098048,2.3841858e-07,-1.8098046,-1.8098046,-5.378002,0.3751545,-4.963171,-7.2122755,-0.00033969924,0.0050919787,0.020963464,-0.022954108,-0.24046105,0.02915386,-0.16070619,-0.2899316,0.008288723,0.43368134,-356.7398923292107,-384.0226743057507,-541.3165760439118,7000,270000,0,534.5284864176065,20.39613675000146,38.5989498780109,593.5235730456188,4161.417400338221,6
0.011901034,0.9756649,0.031484913,0.031484913,80.71926,0.39225993,252.13489,14.807392,-21.213997,8.835059,-5.8426833,-52.945957,-2.0971336,0.0,-2.0971336,-2.0971336,-5.407424,0.5121777,-4.9877734,-9.975336,-0.0024092572,0.0061027417,0.013932441,-0.017729577,-0.24390861,0.020691358,-0.1609496,-0.27968782,0.0061500263,0.40587378,-573.7042071027303,-548.7145069073244,-541.1885509826159,8000,300000,0,537.3857175647281,15.274028364103287,35.26895149145275,587.9286974202842,4749.331344402861,7
0.008953439,0.9765479,0.020987522,0.020987522,70.84576,0.26055235,246.88197,14.898336,-22.320852,9.056441,-6.072858,-47.281357,-2.3858132,0.0,-2.3858132,-2.3858132,-5.3889127,0.3965563,-5.0110693,-8.13143,-0.00031530557,0.0040153014,0.016264603,-0.010702572,-0.24438432,0.016960349,-0.18984273,-0.2792503,0.0024031217,0.4642253,-511.9748676680018,-509.2904495568629,-515.6088300324111,9000,330000,0,524.9863059818745,15.259477128274739,41.54276985907927,581.7885529692285,5335.732501297258,8
0.0030704606,0.9917145,0.0047981534,0.0047981534,61.837452,0.20132734,240.98834,15.172643,-21.847591,8.452318,-5.9833827,-59.608143,-2.680856,0.0,-2.680856,-2.680856,-5.383891,0.53005224,-5.011832,-10.183575,0.00016571707,0.0037239615,0.011487516,-0.015543247,-0.2533967,0.0107587455,-0.2018022,-0.27590668,0.0081363525,0.4823121,-514.3307243071627,-512.9292908228351,-539.6460965567812,10000,360000,0,532.5364831406623,19.87231950694695,36.5306457108818,588.9394483584911,5919.749368681572,9
0.0108290585,0.99204236,0.026159666,0.026159666,59.556835,0.17280431,245.7687,15.478849,-22.046864,7.808598,-5.80392,-48.024857,-2.9850085,2.3841858e-07,-2.9850087,-2.9850087,-5.4096317,0.4071186,-5.0051146,-7.6160574,0.00011698807,0.0044070673,0.015864678,-0.010901174,-0.25100607,0.009583294,-0.20956188,-0.27339607,0.0033410632,0.51543254,-385.09795522205013,-416.85517490039683,-544.5574185313682,11000,390000,0,533.021345007699,14.94999966910109,35.99298329371959,583.9643279705197,6504.90863013966,10
0.0042395047,0.98843366,0.005623887,0.005623887,60.335484,0.146549,244.58072,15.7850895,-22.900805,8.061976,-6.6263785,-53.982132,-3.2811155,2.3841858e-07,-3.2811153,-3.2811153,-5.3998456,0.45067084,-5.030572,-8.844581,0.00049273967,0.0025893203,0.018474337,-0.008482246,-0.25278768,0.007321535,-0.2173935,-0.26845944,0.00431325,0.5480708,-412.2435993768483,-394.9251153298113,-559.3826937287398,12000,420000,0,533.7936365390196,16.1451715817675,40.474401980638504,590.4132101014256,7099.151640596334,11
0.0049624667,0.9846672,0.0066370843,0.0066370843,64.22592,0.123379685,237.6357,15.983159,-23.352394,8.754852,-6.8572664,-54.542957,-3.5781744,4.7683716e-07,-3.5781739,-3.5781739,-5.3634233,0.39129567,-5.019154,-7.5458097,0.00030356337,0.0032781938,0.018677903,-0.014620099,-0.2586599,0.0055996827,-0.22247097,-0.27710927,0.0031562573,0.52671033,-384.6968107809053,-408.3472455760645,-518.6258597274808,13000,450000,0,530.5619806670584,19.97523987200111,35.00688736513257,585.5441079041921,7679.8713835841045,12
0.003827839,1.0052252,0.0035355669,0.0035355669,69.8457,0.11948373,240.02847,16.317917,-23.005077,8.148447,-7.399198,-49.04509,-3.8734972,7.1525574e-07,-3.873498,-3.873498,-5.3788466,0.48971623,-4.9765415,-10.509963,0.00033797472,0.003743034,0.012976681,-0.011753416,-0.2590893,0.0048744837,-0.22762792,-0.28271294,0.0039459025,0.5435579,-464.8092647788947,-465.8284939345416,-528.6822471657737,14000,480000,0,535.0852201529779,15.151101293973625,36.64365079905838,586.8799722460099,8269.847684576642,13
0.004356255,1.0040535,0.0043754815,0.0043754815,72.3532,0.11212365,240.24516,16.61056,-23.708355,7.815004,-7.091533,-55.929882,-4.17257,9.536743e-07,-4.172571,-4.172571,-5.386428,0.39967155,-4.9530315,-7.94279,-0.0019944748,0.002412188,0.0074798344,-0.013948941,-0.26059017,0.0048762807,-0.24321516,-0.28202215,0.0069858124,0.5632595,-501.65765374479304,-487.77349308841,-534.4726583901671,15000,510000,0,539.8939234949648,18.247723658103496,40.31502421712503,598.4566713701934,8868.724835793022,14
0.008234808,1.0000846,0.011113765,0.011113765,77.19114,0.09477676,232.85577,16.69499,-23.18024,7.3431826,-8.352896,-50.99882,-4.47301,4.7683716e-07,-4.4730096,-4.4730096,-5.4052105,0.41850942,-5.011076,-7.212676,-0.00034560892,0.0035646863,0.008990299,-0.008749448,-0.25568107,0.0050650635,-0.23637375,-0.27756912,0.008970436,0.5638851,-436.6594987181053,-442.92717078749035,-537.9079013131653,16000,540000,0,544.2119579417631,18.66844358621165,34.97688156971708,597.8572830976918,9463.267099632882,15
0.0099664135,0.9898651,0.017449617,0.017449617,85.8294,0.08818031,240.57533,17.244007,-23.74566,8.236086,-9.176656,-49.749386,-4.7720404,4.7683716e-07,-4.77204,-4.77204,-5.376686,0.3609013,-5.000791,-7.486374,0.00049212965,0.0029153521,0.010079149,-0.007812871,-0.256015,0.0057297945,-0.23398367,-0.2815422,0.0024235046,0.56745625,-473.0867632464775,-455.3318978570627,-521.5062776043911,17000,570000,0,544.5875221239403,15.353698511142284,37.78449222212657,597.7257128572091,10065.685463973787,16
0.0028427008,1.0074244,0.00229562,0.00229562,93.62438,0.09012838,227.50104,17.135206,-24.240562,7.9589396,-8.597003,-50.678356,-5.0742044,9.536743e-07,-5.0742054,-5.0742054,-5.3014355,0.29771748,-4.997121,-7.1127396,0.0010931782,0.0038492666,0.013113751,-0.008686319,-0.26013625,0.0038505234,-0.24386851,-0.27924404,0.0069512157,0.56979465,-454.7752292505132,-450.7693942143971,-527.7482692965484,18000,600000,0,547.3539216038771,20.04664680082351,38.2700469372794,605.67061534198,10666.805798025802,17
0.0077016517,1.0001954,0.007845406,0.007845406,93.86292,0.075514525,235.23158,17.637001,-24.488483,8.569076,-8.617893,-61.939278,-5.379105,9.536743e-07,-5.379106,-5.379106,-5.3569155,0.37989977,-4.995208,-8.014346,0.00014254107,0.0024767783,0.010328075,-0.010736307,-0.2557304,0.0048559257,-0.24201354,-0.27572614,0.004263456,0.57434964,-562.1303851083202,-545.2588315623561,-526.3333485924356,19000,630000,0,545.2201027809642,15.496903629042208,35.18374514207244,595.9007515520789,11262.33717584284,18
0.0044501917,1.0000528,0.0050139152,0.0050139152,97.63792,0.07152306,231.26292,17.866505,-24.300957,8.002662,-8.478279,-54.523445,-5.677915,4.7683716e-07,-5.6779146,-5.6779146,-5.3868256,0.43128112,-4.9745464,-8.052618,0.0007549068,0.0026156604,0.0064038215,-0.0054002963,-0.2579397,0.0038476407,-0.24582428,-0.2771045,0.0037843857,0.5653852,-554.8316515109066,-563.6141860097805,-565.420326697662,20000,660000,0,546.2469335640781,15.127512505743653,40.23894036374986,601.6133864335716,11868.702063090168,19
0.0040771086,0.9923213,0.0027127066,0.0027127066,102.230774,0.07074573,241.02087,18.33792,-25.52655,7.783127,-10.939996,-52.87036,-5.977697,9.536743e-07,-5.977696,-5.977696,-5.3660583,0.36966813,-5.0125513,-7.1969633,-7.4083735e-05,0.0025730964,0.0073331636,-0.0069041178,-0.25627595,0.0041600512,-0.23836954,-0.2709374,0.0017904477,0.5816766,-519.3125336880194,-523.9018293269517,-549.8069287128858,21000,690000,0,547.1430799029768,19.879317632876337,36.56775500671938,603.5901525425725,12467.831125809811,20
0.0020096689,1.002468,0.00072325906,0.00072325906,105.54605,0.06880337,232.23047,18.534641,-25.062296,7.8313184,-10.000943,-53.086853,-6.277671,9.536743e-07,-6.27767,-6.27767,-5.3815594,0.4070129,-5.0103683,-7.289979,-0.0011691821,0.002434261,0.0046943617,-0.00586331,-0.26055378,0.0035302485,-0.2417123,-0.2745524,0.0023554252,0.58492434,-431.64305057775584,-438.21812048706687,-551.3751738467039,22000,720000,0,548.3110965946689,15.418495156802237,36.88098595151678,600.6105777029879,13072.326500764117,21
0.0027740449,0.99949723,0.0026577252,0.0026577252,113.635056,0.07981364,246.8381,19.147955,-26.15094,8.091376,-10.329178,-53.96394,-6.578433,9.536743e-07,-6.578434,-6.578434,-5.395323,0.40363318,-4.979604,-7.2129536,0.001094738,0.0033410802,0.0065525584,-0.008865984,-0.25689107,0.004571443,-0.23876102,-0.27271092,0.0026845648,0.5803768,-351.85651290607456,-377.69858575323906,-532.7785917429874,23000,750000,0,550.4621362062171,19.303612526040524,39.58562267245725,609.3513714047149,13678.784412057605,22
0.0028877738,1.0004196,0.0011731673,0.0011731673,114.46777,0.06349281,235.77246,19.177977,-26.722542,8.234261,-9.512788,-61.828876,-6.879385,1.4305115e-06,-6.8793836,-6.8793836,-5.3837132,0.3737589,-5.0158286,-7.3344903,-0.00065692386,0.0020445425,0.005021012,-0.0059407717,-0.2566231,0.004176889,-0.2375272,-0.2716723,0.0017916125,0.5877958,-501.30022707142933,-517.8617608862966,-536.195219064359,24000,780000,0,550.730426594615,16.410432152915746,35.048425840679556,602.1892845882103,14279.857798662968,23
0.002106015,0.99768955,0.0007192782,0.0007192782,119.52025,0.058951505,233.0778,19.377953,-25.74517,7.384051,-12.024379,-57.02053,-7.1812115,1.9073486e-06,-7.1812096,-7.1812096,-5.354846,0.41899535,-5.0059175,-8.326547,0.0016241954,0.0046052374,0.011819617,-0.011173352,-0.2559378,0.0030730932,-0.24235716,-0.2672988,0.004141108,0.5884995,-570.0724358938365,-544.8369936166234,-526.2873393678491,25000,810000,0,546.8801099588163,15.29485542094335,40.7510272981599,602.9259926779196,14887.437149314675,24
0.00476827,0.9997862,0.003974038,0.003974038,125.444695,0.057438325,238.39207,19.79869,-27.347324,8.321631,-10.53892,-56.23858,-7.4816203,1.4305115e-06,-7.481619,-7.481619,-5.3892794,0.40476286,-5.025442,-8.671212,-0.0009772817,0.0027530936,0.010370549,-0.0059722816,-0.2568193,0.0026758097,-0.24778575,-0.27407518,0.0030179,0.5986779,-561.1177053358495,-564.5558495324867,-528.8004294828564,26000,840000,0,554.6427141786553,19.948511485941708,36.48491495428607,611.0761406188831,15493.811492057983,25
