Z mean train,Z variance train,KL Divergence,KL Loss,adapter Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
1.7744305,0.004953976,75.28879,7.5288787,40.410187,475.77142,214.82645,-3087.2766,3118.7817,404.30386,3920.135,2415.114,3115.6228,392.61057,3880.6814,2407.972,4.578555,3.7066226,15.707352,-4.6083436,-0.084350795,1.3899084,3.3466325,-2.8866863,-0.6914048,0.2602677,-0.051374316,-2.338652,0.806056,0.006336236,1598.4965163945506,1560.87330428202,1576.6590837394244,2000,8000,0,152.7213355479762,0,5.654080282431096,158.3754158304073,170.27580466028303,0
0.9776553,0.017359946,61.92469,6.192469,0.17370367,11440.367,4995.3345,-2443.5203,2803.7634,829.6259,3811.4863,249.55154,2809.7505,825.47217,3793.511,232.52191,4.4298143,4.1037025,18.085684,-5.510748,0.032906253,1.3371063,3.333204,-2.943779,-0.7593307,0.35638338,0.1913892,-2.7169628,1.4323775,0.009515291,1648.7558463020982,1590.4662670584619,1604.8813132981722,4000,12000,0,149.40279433969408,11.902196521870792,2.832107726018876,164.13709858758375,334.4289889149368,1
1.2638099,0.019583087,62.109505,6.2109504,0.07751682,424.88925,191.94382,-3091.0854,3061.5627,654.4307,4039.2834,236.19682,3067.3928,647.3121,4026.4272,239.42549,5.2951202,4.150878,16.411732,-7.649628,-0.066011995,1.4276965,3.0382936,-3.0651777,-0.7703665,0.39554855,-0.028907895,-3.1069903,1.0651603,0.0070487307,1627.5209627825793,1629.684764843225,1643.4641865183553,6000,16000,0,136.81716373190284,11.91846478311345,2.8303914018906653,151.56601991690695,485.98493534652516,2
1.9419464,0.005270046,79.28281,7.928281,0.06279927,312.27927,99.64993,-3205.8208,3294.1624,391.59488,4074.415,2489.849,3300.4731,382.1295,4068.8389,2539.1477,4.8460836,3.6388967,13.162767,-3.7248445,-0.15536502,1.3884568,2.9173744,-3.2323737,-0.7423649,0.2656222,-0.22324881,-2.5253217,1.2630424,0.00831991,1671.9413527163254,1657.6822090888072,1656.4317490650947,8000,20000,0,151.1587906689383,11.908657446037978,2.85492325713858,165.92237137211487,651.9456120748073,3
2.002934,0.005706895,80.02249,8.00225,0.15679465,232.62482,134.87071,-3212.5632,3370.8564,384.0664,4181.5254,2575.4211,3379.1763,374.42862,4145.7695,2603.8425,5.445095,3.7149749,14.357108,-6.777608,-0.05805694,1.450737,2.9024656,-3.2689228,-0.72073597,0.2533655,-0.19875866,-2.1507282,1.3483351,0.008787552,1610.104708614735,1701.646040395514,1603.2700326463537,10000,24000,0,150.5905839470215,11.947338046971709,2.8505851491354406,165.38850714312866,817.4442451861687,4
1.9809,0.0045020254,82.298,8.2298,0.0611645,265.513,111.94733,-3258.7175,3413.792,406.7651,4165.009,2546.9897,3416.1484,400.1895,4153.8965,2553.777,4.5578113,3.8188512,16.153515,-5.7435703,0.014116126,1.3870733,3.021343,-2.940974,-0.7290475,0.2716555,-0.15311396,-2.4488587,1.3096577,0.008583019,1628.9898598247303,1647.3171324133782,1658.4330444562775,12000,28000,0,150.8252609539777,12.058939699083567,2.8419239199720323,165.7261245730333,989.6149753546342,5
1.9776875,0.0050893635,93.59146,9.359146,0.1333727,306.46954,129.49553,-3420.4355,3441.7402,400.6921,4161.175,2598.2466,3435.605,392.0909,4141.6885,2603.6467,4.626034,3.5739822,15.523402,-5.5280704,-0.0110725975,1.3882061,2.802215,-2.8891451,-0.71884054,0.270751,-0.21636236,-2.5012803,1.1517763,0.0074247546,1658.728845964189,1673.8361035090238,1701.8861413767897,14000,32000,0,153.92340769292787,18.50275812810287,3.415608687326312,175.84177450835705,1165.2670561755076,6
1.9889069,0.0050185365,92.698654,9.269866,0.20518108,1517.2306,341.0273,-3360.0425,3471.2817,390.78696,4243.228,2571.2708,3480.8042,380.4925,4249.4,2641.707,4.8452473,3.6692383,16.173466,-4.2507567,-0.04440245,1.4201559,2.8595712,-2.8453162,-0.7244398,0.28036335,-0.19120485,-2.3980505,0.8883675,0.0051380675,1702.501593589895,1658.9083776952612,1582.2546778775163,16000,36000,0,165.23702937178314,18.313323564827442,3.5818732767365873,187.13222621334717,1353.525643763598,7
1.0233183,0.015133524,67.263885,6.7263885,0.30153358,585.8224,190.10242,-3080.6885,2940.1858,625.02167,3848.6277,196.8096,2944.7896,614.03815,3830.8296,196.97404,4.481131,3.9386337,13.504831,-5.8524685,-0.11316628,1.3283635,3.148004,-2.654984,-0.7726167,0.36630115,0.14203209,-3.076389,1.2651184,0.007852831,1750.3907256794369,1739.5420983781491,1726.779647068755,18000,40000,0,155.43143055820838,19.439943121746182,3.573297789786011,178.44467146974057,1530.8809261550196,8
1.2684219,0.018228803,83.3445,8.33445,0.09387787,268.8555,107.507645,-3305.5798,3158.5269,747.30225,4050.9595,198.68822,3169.7698,742.2645,4045.207,202.65334,4.7550135,3.9546082,14.897436,-4.7671614,-0.013784216,1.3991218,3.2414055,-3.0921245,-0.7569747,0.3995534,0.076646686,-3.0949335,0.80686444,0.004789571,1786.3015189513012,1741.8236940693025,1698.145903859322,20000,44000,0,149.2594085619785,18.350806567817926,3.4057831200771034,171.01599824987352,1699.4714819197543,9
1.9843506,0.0034155555,83.27344,8.327344,0.10759151,540.71094,171.30023,-3283.6367,3525.2874,463.96277,4377.561,-5.612638,3532.1372,459.0129,4347.025,-5.0261126,5.234639,3.42204,15.587684,-3.0155272,-0.0562858,1.4394014,3.5445776,-2.9571426,-0.72830206,0.2746051,-0.17865884,-2.1735334,1.2306578,0.007874403,1645.033016661756,1689.1889707754494,1743.474517774746,22000,48000,0,158.57189456094056,15.925616853870451,3.074521944858134,177.57203335966915,1878.4053027662449,10
