Z mean train,Z variance train,KL Divergence,KL Loss,adapter Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.0059348578,0.0069406875,149.15308,14.915308,390.36526,128.65399,16.452297,-4.019496,0.00054334104,8.010846e-05,0.000786274,0.00031420763,-0.0018410238,6.470851e-05,-0.0017029017,-0.0020551968,-4.0183363,0.5510705,-2.3922987,-5.2754126,0.00017810357,0.0007458017,0.0009514961,-0.0008475828,0.00063123286,0.0036905229,0.008773176,-0.011348431,0.018142028,0.07695719,-190.6429752406644,-191.8044716301769,-545.1368100010443,2000,45000,0,561.8557631596923,0,44.14178736973554,605.9975505294278,677.0607974086888,0
0.03186428,0.8096552,0.51004434,0.051004436,62.439953,19.299053,2.7427764,19.314451,-18.162624,6.4250274,-6.085218,-39.765774,-13.9939785,6.159451,-1.8473724,-34.058865,-3.7711577,0.68231994,-1.4907746,-5.9427605,0.08043096,0.21338913,0.84117085,-0.6737641,-0.26397225,0.06785765,-0.14788769,-0.47104728,0.010326336,0.067192815,-215.84316602999786,-215.98455064487482,-555.0564706721075,4000,60000,0,560.5898615540937,71.06503237225115,14.946295270696282,646.6011891970411,1312.6881714072078,1
0.02209625,0.91351336,0.20734587,0.020734588,37.557484,25.644264,5.0598497,34.35677,-25.754045,12.449788,-4.1536455,-72.24377,-21.11419,11.524767,1.7713002,-58.184227,-3.437955,1.2401856,0.9623047,-7.336381,0.119826525,0.36505678,1.683468,-0.8969595,-0.2891167,0.12161312,-0.07480279,-0.66593754,0.015463268,0.0674815,-178.21693690058729,-177.66938867363672,-533.2858736966003,6000,75000,0,570.2763293078169,60.09140921710059,14.417553811334074,644.7852923362516,1955.492752267979,2
0.040365577,0.9627342,0.14776811,0.014776811,36.0629,24.965212,5.383034,47.07455,-28.31387,14.298625,-1.5548649,-81.38222,-24.573177,13.50908,2.7484488,-73.60372,-3.3969395,1.3183217,2.1587734,-7.7154045,0.06188393,0.4054035,1.906006,-1.1810992,-0.28450453,0.11392193,-0.10169399,-0.64990115,0.01476635,0.09517803,-160.9709339202589,-160.95343731063562,-545.5476113518957,8000,90000,0,562.6449182452634,58.11094194324687,12.074912219773978,632.8307724082842,2599.484214943368,3
0.022180803,0.9013397,0.31448793,0.031448793,40.433823,22.220781,5.068213,58.04972,-29.584858,15.120613,3.074758,-79.475266,-23.959225,13.910833,6.838702,-60.7578,-3.1536334,1.5816804,3.6449342,-7.4034576,0.05717337,0.42570546,1.7448679,-1.791625,-0.28579488,0.120663755,0.042033188,-0.7100624,0.00902418,0.106905356,-140.0614420476578,-138.45829127078713,-430.371192993311,10000,105000,0,560.6059937290847,69.27185877598822,12.162916625849903,642.0407691309229,3243.063139663078,4
0.014609532,1.0134676,0.037321623,0.0037321623,59.920387,20.181242,5.463527,65.370766,-29.05178,17.730404,7.981882,-83.476524,-25.025326,17.293036,10.660152,-76.190445,-3.1721961,1.3633311,3.6370726,-6.4715505,0.059922855,0.404002,2.0291235,-2.0290563,-0.29574847,0.144784,0.117950484,-0.8525164,0.009650938,0.10785131,-85.53870879822036,-85.81968918485678,-305.0056917688337,12000,120000,0,563.806160686072,70.8102784268558,14.670076006092131,649.2865151190199,3891.1923786038533,5
0.012509443,0.8824434,0.39158648,0.03915865,39.284763,21.067047,5.647614,67.84459,-28.716854,23.667624,13.337372,-86.75136,-24.323875,22.974138,17.959097,-75.556274,-3.0812595,1.4712796,3.418313,-8.775673,0.055431265,0.41562152,1.9279227,-1.5423908,-0.30604032,0.16078894,0.11853078,-1.0545406,0.010395444,0.13021538,-66.60295967573276,-67.5173752656905,-240.55114304635634,14000,135000,0,578.3178589851595,69.65329180611297,14.246890371199697,662.2180411624722,4543.61341585312,6
0.012482403,0.9635998,0.04045645,0.0040456452,46.628056,17.931517,4.965025,70.562546,-21.042948,28.849472,22.757341,-77.713455,-15.901135,28.493223,28.818756,-65.434586,-3.3520074,1.1467957,1.5863125,-6.706335,0.04649423,0.36505044,1.7684008,-1.2480657,-0.31975803,0.16809873,0.09449995,-1.0560623,0.018505236,0.11899473,-56.01767302416095,-56.28040634540799,-164.10584499738096,16000,150000,0,568.7483248510398,59.856548896059394,14.236962348222733,642.8418360953219,5183.556487162132,7
0.024866471,0.9533601,0.08860071,0.008860071,42.860607,18.885572,4.9963827,67.371925,-13.851213,33.1965,32.916714,-72.74726,-9.998125,33.180626,37.65645,-70.56609,-3.0638885,1.2972287,1.628901,-6.688897,0.071306266,0.40851724,2.1205213,-1.5039737,-0.33698022,0.1773078,0.08570435,-1.1981559,0.012476164,0.11841478,-49.876124264968865,-50.78117273728219,-171.74558429568245,18000,165000,0,562.0640574241988,56.958022008184344,12.003212825860828,631.025292258244,5826.940727864858,8
0.01756072,0.9549101,0.045148287,0.004514829,40.63779,17.113943,6.0316505,64.3685,-11.901514,38.814346,36.98569,-86.75892,-7.106634,38.234596,41.382366,-80.99507,-3.2307024,1.1496739,0.6336025,-7.080334,0.071317,0.38144836,1.6132866,-2.2416568,-0.3220667,0.17617114,0.02373825,-1.3119727,0.011374738,0.10394553,-43.322069119209594,-42.331866316525534,-161.62503756196642,20000,180000,0,560.9962920267135,69.31721966806799,13.665639162994921,643.9791508577764,6471.509673574008,9
