Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.0136108175,0.002697768,196.73352,19.673353,1190.5638,131.03583,-11.447098,0.008023704,0.011687594,0.04693871,-0.033763845,0.035268847,0.014373694,0.08310493,-0.009333231,-11.382479,0.8977167,-8.295176,-14.789425,-0.0011839368,0.0076679555,0.036166187,-0.031619225,0.0006211934,0.0069705048,0.035065446,-0.025709204,0.066316545,0.28015548,465.16112870140995,469.62336285900733,490.71899448763605,4000,206461,0,339.84022808104055,0,243.13355328619946,582.97378136724,658.806976318243,0
0.06583969,0.75692254,1.499877,0.1499877,952.15735,198.97858,-535.0966,501.43744,186.7796,670.766,15.718165,530.7572,170.2469,679.18005,38.67785,-4.755662,5.3469214,17.80251,-16.132647,0.22193746,0.7404176,2.701039,-2.5716596,-0.24410744,0.15075073,-1.778081e-05,-0.8417045,1.2856857,0.13803403,226.28079088823262,222.41446926120668,231.88653392309823,8000,211852,0,338.96381629596,75.83494601398706,7.4189408389502205,422.2177031488973,1066.729491824226,1
0.09690411,0.29876012,20.662663,2.0662663,1934.1567,823.4384,-1000.85614,938.3428,352.66754,1203.1357,5.8709617,998.34924,310.30704,1218.2273,-25.263294,-2.9476242,8.343734,36.749535,-16.211082,0.3969236,0.7677285,3.3711658,-4.3408365,-0.29009527,0.18572073,0.10565134,-2.1728542,1.6912515,0.06190595,166.87960698954643,181.9922342423104,170.30546157809238,12000,217078,0,337.88325627701124,61.53978723398177,7.1104022900690325,406.53344580106204,1469.8400987582281,2
2.8051798,0.17965095,192.22424,19.222425,4185.5176,2030.9269,-1310.2433,1246.9502,481.57477,1797.948,-5.827193,1311.7887,418.78397,1727.1914,24.387394,0.2232094,10.226956,57.55957,-16.413265,0.37485003,0.9544536,4.4627824,-6.1753197,-0.33899143,0.19608407,0.08385001,-2.4216201,3.1657271,0.05816977,401.67294171420565,440.39544702431084,444.1978008829382,16000,222331,0,339.79548611398786,58.1172534529469,6.9651754111400805,404.87791497807484,1884.4683040324016,3
0.36010486,0.08562413,72.613785,7.261379,6390.2686,4308.531,-2022.3157,1902.3242,670.5674,2573.828,-26.953579,1990.1671,561.44116,2547.7732,6.478016,5.577195,10.768085,58.468597,-14.539666,0.14220108,1.2346479,5.2693696,-7.694839,-0.42532218,0.21105982,0.1657173,-2.5184586,0.8027719,0.08332143,320.98750089083137,351.7697547731439,365.1563835997425,20000,227616,0,339.3287368050078,67.86755040299613,7.203306933050044,414.39959414105397,2297.1425531754503,4
0.6968312,0.06384791,134.09778,13.409778,6900.199,5949.162,-2291.076,2173.3013,828.7112,2860.3818,-22.749855,2299.7214,714.7435,2896.033,9.030355,6.041443,11.698428,69.588974,-15.240694,0.2135663,1.2475672,5.291531,-9.225231,-0.41504553,0.20001416,0.5240512,-2.5705395,4.101935,0.02592333,226.83079722763856,174.2762645874227,165.42502889871412,24000,233189,0,337.030947302992,66.14242709300015,7.673387545044534,410.8467619410367,2699.8414705274627,5
0.19985473,0.059155516,225.82896,22.582897,9991.811,4760.357,-2369.6433,2218.3623,930.869,3171.9165,-59.084724,2345.2354,827.5352,3201.9678,8.790559,4.904221,12.485977,71.21793,-13.798591,0.21623455,1.2086171,6.2743845,-7.8704863,-0.4140091,0.2205558,0.7743888,-2.6216109,1.1696396,0.13150336,235.82967408079952,229.78660217187007,222.4797808289459,28000,238420,0,338.653809009993,57.99483483901713,7.0143092150683515,403.66295306407847,3110.803297204431,6
2.5006154,0.040600874,145.12851,14.512851,13982.793,8183.625,-2705.7383,2553.5942,1071.2545,4641.263,-65.99896,2733.9092,968.81665,4673.589,-19.044235,10.638677,13.383921,86.39488,-13.94662,0.1952019,1.4311881,6.7860045,-7.924746,-0.4856688,0.23685612,0.48467907,-3.0267963,1.0606368,0.20183262,229.1479164345582,216.9886849543176,217.8006364013959,32000,243613,0,338.5713317359914,65.29374787799316,7.398717054922599,411.26379666890716,3516.89300218632,7
0.68580496,0.033391275,100.43883,10.043883,29731.945,10422.443,-4270.418,3868.1235,1652.2645,6147.9404,-94.74275,4291.3164,1597.3102,6564.0137,-124.014534,24.540699,11.864933,97.27949,-13.466484,0.19950724,1.8898786,10.285446,-8.788925,-0.6016321,0.18576948,0.58346,-2.8138516,8.405858,0.3454153,144.9349955985795,170.96949137813596,164.3118972241048,36000,248811,0,338.86261068301974,60.11987211898668,7.072932496899739,406.05541529890615,3922.2568713001674,8
1.1836221,0.009482324,1357.419,135.7419,244906.6,103464.3,-9340.164,8408.332,4384.9683,14225.387,-205.60103,9329.439,4375.242,15386.648,-227.61134,43.40875,18.42414,127.20325,-10.116292,-0.17949568,5.8725076,23.851395,-116.99484,-0.6304681,0.40816712,2.0,-3.202998,3.9209538,0.011228601,216.21617395944628,205.92376936620838,208.54969462359222,40000,254002,0,338.9699407070293,59.42858401295962,7.130835786927491,405.5293605069164,4328.246944580169,9
