Z mean train,Z variance train,KL Divergence,KL Loss,adapter Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.016443703,0.0026966599,122.97084,12.297084,10763.683,1221.9642,131.18214,-11.417326,0.0020988204,0.00047339124,0.003813081,0.001101235,-3.5757526e-05,0.00035699838,0.0009907092,-0.001026755,-11.423398,0.9202419,-8.370405,-13.736561,4.1009835e-06,0.0006339441,0.00095816114,-0.0012321763,-0.0009204138,0.013812551,0.047087595,-0.048600283,0.0304191,0.22081144,295.7710012651995,293.34625716329134,289.0164554661022,4000,30351,0,947.3771945629269,0,36.37174894288182,983.7489435058087,1101.205965098925,0
0.032845527,0.6013425,2.7410564,0.27410564,44.728256,2228.785,354.10947,-572.1439,525.0111,174.24107,728.26105,23.70875,563.173,158.19084,728.4761,42.09488,-2.5676079,4.507419,11.4269285,-12.952507,0.08250497,0.8890732,2.815764,-2.181531,-0.27700883,0.16860335,0.12950012,-0.8376509,0.014223767,0.14754333,260.7751687386498,280.3205966296122,252.4970680553309,8000,41255,0,987.160650270991,117.45880669914186,16.151712521910667,1120.7711694920436,2199.6160645717755,1
0.015523514,0.42721963,7.247765,0.7247765,59.4363,6614.315,886.4429,-989.6889,974.93756,267.0813,1263.7247,5.3200364,1013.75366,221.8075,1270.0082,28.983648,0.7027401,7.8768015,27.492653,-13.330685,0.35498667,0.9748565,4.3788037,-4.1016016,-0.28086972,0.20355864,0.33798334,-1.4536208,0.025322039,0.07697152,169.80090485675436,168.97804089341568,171.2492329422145,12000,51797,0,982.7490593064576,95.09788164682686,14.934040108695626,1092.7809810619801,3295.8558416971937,2
0.023319732,0.1674963,21.295563,2.1295564,83.74384,20533.145,2267.351,-1470.7483,1441.8557,401.533,2017.5969,-46.105408,1484.1915,355.44955,1895.4855,29.540949,8.466071,7.566643,42.343502,-6.473818,-0.104841776,1.3556411,4.6345515,-3.4464755,-0.3375701,0.24725997,0.81043243,-1.5165311,0.13157466,0.039630137,296.13914263183517,308.05000056477365,274.4697657562301,16000,62180,0,974.584371117875,98.5568967629224,17.770485027693212,1090.9117529084906,4392.483277240768,3
0.10832168,0.09365086,36.630245,3.6630247,140.039,19587.959,4084.1047,-1745.3088,1625.6362,604.9499,2425.0571,2.7930827,1700.9404,545.38,2311.861,-13.310238,9.995014,10.482697,61.765434,-12.292188,0.21193528,1.4455916,6.5370364,-5.5039372,-0.3668934,0.2917858,1.0708112,-1.8650966,0.017988723,0.024086582,288.63690365040037,291.9365849380935,268.0124469621338,20000,72721,0,953.8453324306756,104.27282192930579,18.19640343543142,1076.3145577954128,5486.5375620462,4
0.01624265,0.055267088,47.102238,4.7102237,168.1701,17065.041,12797.624,-1893.9945,1828.6162,641.29944,2633.8105,-163.8353,1895.666,609.9747,2613.136,-182.45709,10.392143,11.315238,57.425293,-10.252924,0.4649864,1.4081426,6.25714,-8.193808,-0.35502103,0.27735522,1.9306457,-2.094374,0.4266383,0.031189427,244.40472881345025,247.93167569194466,229.60245944081393,24000,83386,0,948.0960504114628,122.01276798173785,18.1010950980708,1088.2099134912714,6577.4455711413175,5
0.4648698,0.08753462,48.032276,4.803228,174.91072,10825.597,4620.9023,-2111.8945,1975.2401,718.3354,2765.7776,-57.03942,2094.144,632.08105,2861.2957,-22.003386,13.825253,15.939848,80.80205,-8.549183,0.13290489,1.6383988,6.5991087,-6.3727875,-0.3749766,0.25507158,1.5345323,-1.6801678,1.9868343,0.016968494,100.55909203948298,85.83757252254266,84.65060763353988,28000,93864,0,953.0749391112477,124.71111891046166,18.382683898322284,1096.1687419200316,7675.971506793983,6
2.50625,0.030966306,568.5461,56.85461,196.36952,200494.98,17206.057,-2398.7188,2260.218,770.26263,4064.0503,15.642044,2325.7449,687.3476,3443.2476,-15.921464,16.97892,15.263635,85.2619,-10.618067,0.2652456,1.7536352,7.107797,-9.597832,-0.41731426,0.24539067,0.94593745,-2.1012084,0.48173314,0.010940639,334.9564840951083,348.08128113565374,317.3277276232279,32000,104086,0,967.0796151440591,127.06926083005965,16.955684879794717,1111.1045608539134,8786.69919562433,7
1.105859,0.019411717,113.27034,11.327034,203.16212,16083.925,4186.968,-2383.4167,2178.624,854.41266,3131.6577,0.0998002,2252.2388,814.70825,3098.0354,-46.448624,13.71048,13.168283,66.234024,-8.8575,0.52570385,1.5291616,6.4160504,-6.5143337,-0.40721923,0.20405388,0.58924544,-1.5256097,0.8614379,0.013969729,358.1992317216895,358.98429829855445,382.2683150262722,36000,114721,0,957.2990514645353,126.69192783907056,18.692731169052422,1102.6837104726583,9871.668270574883,8
1.26854,0.024808358,242.63882,24.263884,219.2127,10686.847,4966.068,-2332.5222,2213.4927,902.9221,3111.1055,-54.964386,2311.014,860.7303,3129.116,-27.517542,9.873318,11.985503,75.59305,-10.126904,0.2871248,1.4241589,5.4601088,-6.0147796,-0.4037974,0.17424773,0.6499734,-1.3596569,1.2210611,0.013225357,317.86128617271186,319.49659066177156,321.76512331177315,40000,125542,0,987.8197149978951,108.9776449399069,15.072411951608956,1111.869771889411,10968.293605556712,9
